file # 	 pressure (bar) 	 temperature (K) 	
598	0.0003	1800.0	
599	0.001	1800.0	
600	0.003	1800.0	
601	0.01	1800.0	
602	0.03	1800.0	
603	0.1	1800.0	
604	0.3	1800.0	
605	1.0	1800.0	
606	3.0	1800.0	
607	10.0	1800.0	
608	30.0	1800.0	
609	100.0	1800.0	
610	300.0	1800.0	
611	1e-06	1900.0	
612	3e-06	1900.0	
613	1e-05	1900.0	
614	3e-05	1900.0	
615	0.0001	1900.0	
616	0.0003	1900.0	
617	0.001	1900.0	
618	0.003	1900.0	
619	0.01	1900.0	
620	0.03	1900.0	
621	0.1	1900.0	
622	0.3	1900.0	
623	1.0	1900.0	
624	3.0	1900.0	
625	10.0	1900.0	
626	30.0	1900.0	
627	100.0	1900.0	
628	300.0	1900.0	
629	1e-06	2000.0	
630	3e-06	2000.0	
631	1e-05	2000.0	
632	3e-05	2000.0	
633	0.0001	2000.0	
634	0.0003	2000.0	
635	0.001	2000.0	
636	0.003	2000.0	
637	0.01	2000.0	
638	0.03	2000.0	
639	0.1	2000.0	
640	0.3	2000.0	
641	1.0	2000.0	
642	3.0	2000.0	
643	10.0	2000.0	
644	30.0	2000.0	
645	100.0	2000.0	
646	300.0	2000.0	
647	1e-06	2300.0	
648	3e-06	2300.0	
649	1e-05	2300.0	
650	3e-05	2300.0	
651	0.0001	2300.0	
652	0.0003	2300.0	
653	0.001	2300.0	
654	0.003	2300.0	
655	0.01	2300.0	
656	0.03	2300.0	
657	0.1	2300.0	
658	0.3	2300.0	
659	1.0	2300.0	
660	3.0	2300.0	
661	10.0	2300.0	
662	30.0	2300.0	
663	100.0	2300.0	
664	300.0	2300.0	
665	1e-06	2600.0	
666	3e-06	2600.0	
667	1e-05	2600.0	
668	3e-05	2600.0	
669	0.0001	2600.0	
670	0.0003	2600.0	
671	0.001	2600.0	
672	0.003	2600.0	
673	0.01	2600.0	
674	0.03	2600.0	
675	0.1	2600.0	
676	0.3	2600.0	
677	1.0	2600.0	
678	3.0	2600.0	
679	10.0	2600.0	
680	30.0	2600.0	
681	100.0	2600.0	
682	300.0	2600.0	
683	1e-06	3000.0	
684	3e-06	3000.0	
685	1e-05	3000.0	
686	3e-05	3000.0	
687	0.0001	3000.0	
688	0.0003	3000.0	
689	0.001	3000.0	
690	0.003	3000.0	
691	0.01	3000.0	
692	0.03	3000.0	
693	0.1	3000.0	
694	0.3	3000.0	
695	1.0	3000.0	
696	3.0	3000.0	
697	10.0	3000.0	
698	30.0	3000.0	
699	100.0	3000.0	
700	300.0	3000.0	
701	1e-06	3500.0	
702	3e-06	3500.0	
703	1e-05	3500.0	
704	3e-05	3500.0	
705	0.0001	3500.0	
706	0.0003	3500.0	
707	0.001	3500.0	
708	0.003	3500.0	
709	0.01	3500.0	
710	0.03	3500.0	
711	0.1	3500.0	
712	0.3	3500.0	
713	1.0	3500.0	
714	3.0	3500.0	
715	10.0	3500.0	
716	30.0	3500.0	
717	100.0	3500.0	
718	300.0	3500.0	
719	1e-06	4000.0	
720	3e-06	4000.0	
721	1e-05	4000.0	
722	3e-05	4000.0	
723	0.0001	4000.0	
724	0.0003	4000.0	
725	0.001	4000.0	
726	0.003	4000.0	
727	0.01	4000.0	
728	0.03	4000.0	
729	0.1	4000.0	
730	0.3	4000.0	
731	1.0	4000.0	
732	3.0	4000.0	
733	10.0	4000.0	
734	30.0	4000.0	
735	100.0	4000.0	
736	300.0	4000.0	
